timestamp_ns,frame_id,payload_hex,sequence
0,0x123,DC1ED00700000100,1
10000000,0x124,DC05000000000100,1
20000000,0x125,0208D20700000100,1
30000000,0x126,0000000000000100,1
40000000,0x123,F01ED40700000200,2
50000000,0x124,F005000000000300,3
60000000,0x125,F807D30700000200,2
70000000,0x126,0000000000000200,2
80000000,0x123,0032C40900000300,3
80000000,0x123,0032C40900000300,3
90000000,0x124,C800000000000400,4
85000000,0x124,D200000000000500,5
100000000,0x126,C800E20400000300,3
110000000,0x127,9001000000000100,1
